gen_name,steps_mean,steps_median,steps_std,steps_min,steps_max,apples_mean,apples_median,apples_std,apples_min,apples_max,fitness_mean,fitness_median,fitness_std,fitness_min,fitness_max
gen_1493_153_460_0,128649.0,128649.0,0.0,128649.0,128649.0,765.0,765.0,0.0,765.0,765.0,1594.558120273829,1594.5581202738292,2.2737367544323206e-13,1594.5581202738292,1594.5581202738292
gen_1493_153_460_1,125575.16,130510.0,23274.187612339985,2921.0,145220.0,714.47,761.0,129.28669343749186,30.0,765.0,1234.2496689764628,1493.9820657432324,452.4126604688351,0.3474860405828394,1656.904870594978
gen_1493_153_460_2,115953.27,130001.0,37284.481407109575,2986.0,143564.0,667.04,756.0,199.9034727062039,29.0,765.0,1137.1304557765955,1432.6805167754424,565.5541309490883,0.3275794216930628,1660.6929573442803
gen_1493_153_460_3,121997.98,129946.5,27444.84462298156,2652.0,142044.0,701.28,756.5,147.28822627759493,23.0,765.0,1202.7093613608629,1439.534023427141,494.25172226583544,0.22256275532832326,1663.6305457099866
gen_1493_153_460_4,118152.13,130737.5,37921.737818210546,2379.0,142048.0,671.5,752.5,202.91956534548362,22.0,765.0,1154.1867768040358,1392.4263272735861,528.8687111306677,0.227410616649639,1622.2175977886504
gen_1493_153_460_5,124427.95,130770.5,23071.086987125247,4122.0,143176.0,706.67,758.0,120.7200940191814,52.0,765.0,1169.405326237954,1442.4386659270958,504.05183592271123,0.8695311968713555,1642.0138185210799
gen_1493_153_460_6,117208.2,129728.0,37848.4099555054,2593.0,143198.0,666.18,752.0,203.96736895886067,24.0,765.0,1115.6872099832938,1377.844681193067,544.9124703152808,0.24917949418872853,1642.802274125107
gen_1493_153_460_7,125688.44,131272.0,26018.58861595686,2323.0,142359.0,711.72,765.0,143.31057741841667,22.0,765.0,1253.7369584773285,1538.6321367505911,459.3590191949104,0.2328133039698587,1619.6430005534273
gen_1493_153_460_8,121847.7,130891.0,31678.88686380883,2514.0,143202.0,689.74,756.5,168.55750472761517,23.0,765.0,1164.6730394316505,1440.3348256587437,513.0604641615179,0.23659596112069267,1615.6033053084946
gen_1493_153_460_9,119004.09,130596.5,36122.936522407756,794.0,143282.0,683.51,765.0,194.41967467311534,1.0,765.0,1229.1285031393763,1528.8529004388886,516.7891118283309,0.1,1651.301992492514
gen_1493_153_460_10,124672.04,131018.5,27257.48297877851,3161.0,145492.0,713.53,765.0,145.45119146985357,34.0,765.0,1300.5261248670174,1546.626895942175,449.2421171643657,0.4371227518515396,1623.319125807678
gen_1493_153_460_11,129087.78,131900.5,18702.010455338754,769.0,143432.0,737.1,765.0,105.3893258352097,0.0,765.0,1389.8158928320836,1562.53814845966,358.2413447338397,0.1,1632.953719594816
gen_1493_153_460_12,119948.17,130442.5,34548.21883832942,3556.0,146469.0,691.43,765.0,182.58084538088872,50.0,765.0,1270.900930133733,1550.8605805111424,517.1404751815589,0.9174226524096027,1637.919888840901
gen_1493_153_460_13,126277.87,131949.5,23024.093461265744,3351.0,145040.0,725.33,765.0,124.81026039552998,37.0,765.0,1361.6747717881685,1563.0536695604103,445.4050786745235,0.49675852786128527,1639.7972696490035
gen_1493_153_460_14,125738.54,130776.5,24354.191712072898,4322.0,141336.0,726.74,765.0,131.42843071421038,58.0,765.0,1388.7886341999633,1559.9249181977875,407.3388008880456,1.067717094758575,1657.875681191029
gen_1493_153_460_15,124774.82,132071.5,29984.32991359987,846.0,143595.0,717.89,765.0,163.38812043719702,2.0,765.0,1404.708446133563,1561.8448859178666,409.26310768379307,0.1,1647.5843604336658
gen_1493_153_460_16,123986.08,131382.5,28705.832080843782,3518.0,142650.0,710.0,765.0,155.2807779475618,47.0,765.0,1309.277213775589,1553.9006743909356,478.63500879039583,0.7885525671229914,1636.0556434625985
gen_1493_153_460_17,123851.63,131765.0,28992.255086024263,4411.0,144468.0,716.68,765.0,148.3658235578531,53.0,765.0,1377.3638909053684,1557.306740398281,442.0919741285244,0.8506877753078268,1641.7829339592438
gen_1493_153_460_18,119111.71,130581.5,35281.43400807145,5120.0,145045.0,688.68,765.0,186.8742293629595,66.0,765.0,1268.4097288736268,1559.5983868042895,529.0713494913435,1.2076970868226933,1629.756408991889
gen_1493_153_460_19,128147.87,131202.0,20439.975126039168,3282.0,144047.0,738.07,765.0,108.50191288636341,46.0,765.0,1431.825430822521,1559.4008788801852,355.82164751524755,0.8216334499322995,1655.8173509702806
gen_1493_153_460_20,128123.81,131032.0,19577.751499952697,3990.0,142818.0,737.91,765.0,102.52278722313396,50.0,765.0,1418.6394616397665,1566.0955071826122,365.42195103895415,0.8207034947702901,1646.487640428232
gen_1493_153_460_21,126049.16,131562.5,25658.208223381458,4171.0,142550.0,727.9,765.0,132.48633891839563,57.0,765.0,1415.9092082512745,1566.7506310237925,395.8150172992307,1.061339608930283,1659.3035549508375
gen_1493_153_460_22,128228.01,132298.5,21412.831582252267,3179.0,140999.0,739.32,765.0,115.18436352213787,47.0,765.0,1459.6515344661261,1565.6788736989188,328.66391599806946,0.7804742731278508,1640.7722607557096
gen_1493_153_460_23,128793.93,131930.0,21034.742646990006,2988.0,145341.0,736.48,765.0,111.55854785716778,45.0,765.0,1417.9558815268313,1562.6025588538528,366.221782783687,0.8567660032516046,1642.3807173042787
gen_1493_153_460_24,129315.63,131780.5,18458.579722532828,3806.0,145083.0,742.65,765.0,100.24214433061574,45.0,765.0,1450.7612519261174,1565.1678495520973,327.78250478528696,0.6774118507704532,1632.439553595664
gen_1493_153_460_25,124665.24,132204.0,29370.45372006364,3884.0,145457.0,717.27,765.0,156.585749990221,47.0,765.0,1387.0003359062625,1560.650448509868,432.96657595938905,0.7323938688054452,1644.0688898393373
gen_1493_153_460_26,123395.67,131742.0,31620.911890726686,3214.0,145937.0,710.28,765.0,170.36214837809484,46.0,765.0,1368.4393683695523,1563.978074991761,448.92552190131624,0.8008126572942459,1651.682050239218
gen_1493_153_460_27,127097.35,130983.0,21445.748208619352,4628.0,148257.0,735.99,765.0,109.84739368778851,60.0,765.0,1428.5781003586196,1568.190028069294,366.3597177330784,1.081654541892111,1648.827663877746
gen_1493_153_460_28,126217.28,131657.0,24921.030496783238,3514.0,141888.0,729.31,765.0,130.4684402451413,49.0,765.0,1426.0282302048458,1565.2443584275213,395.5156189097714,0.8865539568805791,1636.2841260305888
gen_1493_153_460_29,124498.41,131195.5,30055.517988248015,3814.0,145076.0,716.83,765.0,156.28781494409603,52.0,765.0,1393.2546246927823,1562.9189228602165,435.9808338597189,0.9372828213553536,1635.847404300628
gen_1493_153_460_30,122331.91,131722.0,32037.92880980136,2707.0,141853.0,712.16,765.0,170.55413920512163,34.0,765.0,1412.1026647293072,1567.8524487357831,440.16165792194965,0.5086852396768538,1681.7929219839284
